date,time,source_ip,http_method,path,attack_type,status_code,raw_log,label,freq_label
17/Jan/2026,03:18:57,10.0.0.23,GET,/comment?msg=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,unknown,401,"10.0.0.23 - - [17/Jan/2026:03:18:57 +0530] ""GET /comment?msg=%3Cscript%3Ealert%281%29%3C%2Fscript%3E HTTP/1.1"" 401 478",8,3
17/Jan/2026,03:18:58,192.168.1.10,GET,/favicon.ico,unknown,200,"192.168.1.10 - - [17/Jan/2026:03:18:58 +0530] ""GET /favicon.ico HTTP/1.1"" 200 507",0,3
17/Jan/2026,03:19:01,192.168.1.11,GET,/ping?host=127.0.0.1;ls,unknown,500,"192.168.1.11 - - [17/Jan/2026:03:19:01 +0530] ""GET /ping?host=127.0.0.1;ls HTTP/1.1"" 500 1051",8,3
17/Jan/2026,03:19:03,10.0.0.23,GET,/ping?host=127.0.0.1;ls,unknown,500,"10.0.0.23 - - [17/Jan/2026:03:19:03 +0530] ""GET /ping?host=127.0.0.1;ls HTTP/1.1"" 500 1544",8,3
17/Jan/2026,03:19:04,10.0.0.5,GET,/images/logo.png,unknown,200,"10.0.0.5 - - [17/Jan/2026:03:19:04 +0530] ""GET /images/logo.png HTTP/1.1"" 200 2220",-1,3
17/Jan/2026,03:19:07,10.0.0.5,GET,/.git,unknown,403,"10.0.0.5 - - [17/Jan/2026:03:19:07 +0530] ""GET /.git HTTP/1.1"" 403 1551",-1,3
17/Jan/2026,03:19:09,10.0.0.23,GET,/,unknown,200,"10.0.0.23 - - [17/Jan/2026:03:19:09 +0530] ""GET / HTTP/1.1"" 200 3626",0,3
17/Jan/2026,03:19:11,192.168.1.11,GET,/docs/,unknown,200,"192.168.1.11 - - [17/Jan/2026:03:19:11 +0530] ""GET /docs/ HTTP/1.1"" 200 1872",-1,3
17/Jan/2026,03:19:14,192.168.1.10,GET,/about,unknown,200,"192.168.1.10 - - [17/Jan/2026:03:19:14 +0530] ""GET /about HTTP/1.1"" 200 4804",-1,3
17/Jan/2026,03:19:15,192.168.1.10,GET,/run?cmd=echo+test;id,unknown,500,"192.168.1.10 - - [17/Jan/2026:03:19:15 +0530] ""GET /run?cmd=echo+test;id HTTP/1.1"" 500 1487",8,3
17/Jan/2026,03:19:16,192.168.1.11,GET,/backup,unknown,403,"192.168.1.11 - - [17/Jan/2026:03:19:16 +0530] ""GET /backup HTTP/1.1"" 403 1795",-1,3
