method_enc,path_len,path_depth,has_query,has_values,is_php,is_static,label,freq_label
0,1,1,0,0,0,0,0,1
0,11,1,0,0,0,1,-1,1
0,11,1,0,0,0,0,-1,1
0,11,1,0,0,0,1,-1,1
0,18,1,0,0,0,0,-1,1
0,13,1,0,0,0,1,-1,1
0,14,1,0,0,0,1,-1,1
0,14,1,0,0,0,1,-1,1
0,12,1,0,0,0,0,0,1
0,6,2,0,0,0,0,-1,1
0,32,3,0,0,0,1,-1,1
0,23,3,0,0,0,1,-1,1
0,25,3,0,0,0,0,-1,1
0,28,4,0,0,0,1,-1,1
0,35,4,0,0,0,0,-1,1
0,35,4,0,0,0,0,-1,1
0,35,4,0,0,0,0,-1,1
0,41,4,0,0,0,0,-1,1
0,13,3,0,0,0,0,-1,1
0,15,2,0,0,0,0,-1,1
0,15,2,0,0,0,0,-1,1
0,27,3,0,0,0,0,-1,1
0,11,1,0,0,0,0,-1,1
0,11,1,0,0,0,0,-1,1
0,12,2,0,0,0,0,-1,1
0,12,2,0,0,0,0,-1,1
0,12,1,0,0,0,0,0,1
0,7,1,1,1,0,0,8,3
0,12,2,0,0,0,0,-1,1
0,18,2,1,1,0,0,8,3
0,23,2,1,1,0,0,8,3
0,23,2,1,1,0,0,8,3
0,287,2,1,1,0,0,9,3
0,23,2,1,1,0,0,8,3
0,25,2,1,1,0,0,-1,3
0,49,2,1,1,0,0,9,3
0,50,2,1,1,0,0,9,3
0,81,2,1,1,0,0,9,3
0,75,2,1,1,0,0,9,3
0,69,2,1,1,0,0,9,3
0,43,2,1,1,0,0,9,3
0,52,2,1,1,0,0,9,3
0,150,2,1,1,0,0,9,3
0,189,2,1,1,0,0,9,3
0,183,2,1,1,0,0,9,3
0,177,2,1,1,0,0,9,3
0,151,2,1,1,0,0,9,3
0,160,2,1,1,0,0,9,3
0,383,2,1,1,0,0,9,3
0,377,2,1,1,0,0,9,3
0,371,2,1,1,0,0,9,3
0,345,2,1,1,0,0,9,3
0,354,2,1,1,0,0,9,3
0,364,2,1,1,0,0,9,3
0,358,2,1,1,0,0,9,3
0,352,2,1,1,0,0,9,3
0,326,2,1,1,0,0,9,3
0,335,2,1,1,0,0,9,3
0,454,2,1,1,0,0,9,3
0,448,2,1,1,0,0,9,3
